NOTE  |**** This CSV created with *****
NOTE  |******** CSV MAKER v1.7 ********
NOTE  |Suitiable for WIDENESS
NOTE  |Author: Atakan - ver. 1.0
NOTE  |Troops: TH12/13 16 Ball 10 Drag
NOTE  |Troops: TH11 16 Ball 9 Drag
NOTE  |Spells: 3 rage 1 clone 2 haste
NOTE  |CC: ball and rage (any siege)
NOTE  |EXTERNAL EDGE

      |_TROOPNAME_|____TH06___|____TH07___|____TH08___|____TH09___|____TH10___|____TH11___|____TH12___|____TH13___|
TRAIN |Ball       |0          |0          |0          |0          |0          |16         |16         |16         |
TRAIN |Drag       |0          |0          |0          |0          |0          |9          |10         |10         |
TRAIN |RSpell     |0          |0          |0          |0          |0          |3          |3          |3          |
TRAIN |CSpell     |0          |0          |0          |0          |0          |1          |1          |1          |
TRAIN |HaSpell    |0          |0          |0          |0          |0          |2          |2          |2          |
TRAIN |King       |0          |0          |0          |0          |0          |1          |1          |1          |
TRAIN |Queen      |0          |0          |0          |0          |0          |1          |1          |1          |
TRAIN |Warden     |0          |0          |0          |0          |0          |316        |316        |316        |
TRAIN |Champion   |0          |0          |0          |0          |0          |0          |325        |325        |


      |___________|____TH06___|____TH07___|____TH08___|____TH09___|____TH10___|____TH11___|____TH12___|____TH13___|
CCREQ |           |           |           |           |           |           |           |           |loon rage  |


      |EXTR. GOLD |EXTR.ELIXIR|EXTR. DARK |DEPO. GOLD |DEPO.ELIXIR|DEPO. DARK |TOWNHALL   |FORCED SIDE|           |
SIDE  |0          |0          |0          |0          |0          |0          |10         |           |           |
      |EAGLE      |INFERNO    |XBOW       |WIZTOWER   |MORTAR     |AIRDEFENSE |SCATTER    |AIRSWEEPER |GEMBOX     |
SIDEB |10         |0          |0          |0          |0          |3          |0          |0          |           |

DROP  |J          |7          |1          |Queen      |50-70      |0          |100-120    |W2         |           |... - 1 Queen will drop at Point : 7 from _D side with 0 AddTile and then bot will sleep between 100-120 ms.
DROP  |S          |7          |1          |King       |50-70      |0          |100-120    |W2         |           |... - 1 King will drop at Point : 7 from _G side with 0 AddTile and then bot will sleep between 100-120 ms.
WAIT  |10000-15000|AQ,BK      |           |           |           |           |           |           |           |... -Bot will wait 10000-15000 ms. , but will go on if King or Queen are activated
DROP  |P          |1          |1          |WallW      |50-70      |0          |250-500    |W2         |           |... - 1 Wall Wrecker will drop at Point : 1 from _F side with 0 AddTile and then bot will sleep between 250 and 500ms.
DROP  |M          |8          |1          |Drag       |50-70      |0          |100-120    |W1         |           |... - 1 Dragon will drop at Point : 8 from _E side with 0 AddTile and then bot will sleep between 100-120 ms.
